;data;Salário mínimo vigente;ano;mês;variação
115;1950.02;1,3818e-13;1950;02;0,0
116;1950.03;1,3818e-13;1950;03;0,0
117;1950.04;1,3818e-13;1950;04;0,0
118;1950.05;1,3818e-13;1950;05;0,0
119;1950.06;1,3818e-13;1950;06;0,0
120;1950.07;1,3818e-13;1950;07;0,0
121;1950.08;1,3818e-13;1950;08;0,0
122;1950.09;1,3818e-13;1950;09;0,0
123;1950.10;1,3818e-13;1950;10;0,0
124;1950.11;1,3818e-13;1950;11;0,0
125;1950.12;1,3818e-13;1950;12;0,0
126;1951.01;1,3818e-13;1951;01;0,0
127;1951.02;1,3818e-13;1951;02;0,0
128;1951.03;1,3818e-13;1951;03;0,0
129;1951.04;1,3818e-13;1951;04;0,0
130;1951.05;1,3818e-13;1951;05;0,0
131;1951.06;1,3818e-13;1951;06;0,0
132;1951.07;1,3818e-13;1951;07;0,0
133;1951.08;1,3818e-13;1951;08;0,0
134;1951.09;1,3818e-13;1951;09;0,0
135;1951.10;1,3818e-13;1951;10;0,0
136;1951.11;1,3818e-13;1951;11;0,0
137;1951.12;1,3818e-13;1951;12;0,0
138;1952.01;4,3636e-13;1952;01;2,1579099724996382
139;1952.02;4,3636e-13;1952;02;0,0
140;1952.03;4,3636e-13;1952;03;0,0
141;1952.04;4,3636e-13;1952;04;0,0
142;1952.05;4,3636e-13;1952;05;0,0
143;1952.06;4,3636e-13;1952;06;0,0
144;1952.07;4,3636e-13;1952;07;0,0
145;1952.08;4,3636e-13;1952;08;0,0
146;1952.09;4,3636e-13;1952;09;0,0
147;1952.10;4,3636e-13;1952;10;0,0
148;1952.11;4,3636e-13;1952;11;0,0
149;1952.12;4,3636e-13;1952;12;0,0
150;1953.01;4,3636e-13;1953;01;0,0
151;1953.02;4,3636e-13;1953;02;0,0
152;1953.03;4,3636e-13;1953;03;0,0
153;1953.04;4,3636e-13;1953;04;0,0
154;1953.05;4,3636e-13;1953;05;0,0
155;1953.06;4,3636e-13;1953;06;0,0
156;1953.07;4,3636e-13;1953;07;0,0
157;1953.08;4,3636e-13;1953;08;0,0
158;1953.09;4,3636e-13;1953;09;0,0
159;1953.10;4,3636e-13;1953;10;0,0
160;1953.11;4,3636e-13;1953;11;0,0
161;1953.12;4,3636e-13;1953;12;0,0
162;1954.01;4,3636e-13;1954;01;0,0
163;1954.02;4,3636e-13;1954;02;0,0
164;1954.03;4,3636e-13;1954;03;0,0
165;1954.04;4,3636e-13;1954;04;0,0
166;1954.05;4,3636e-13;1954;05;0,0
167;1954.06;4,3636e-13;1954;06;0,0
168;1954.07;8,7273e-13;1954;07;1,0000229168576404
169;1954.08;8,7273e-13;1954;08;0,0
170;1954.09;8,7273e-13;1954;09;0,0
171;1954.10;8,7273e-13;1954;10;0,0
172;1954.11;8,7273e-13;1954;11;0,0
173;1954.12;8,7273e-13;1954;12;0,0
174;1955.01;8,7273e-13;1955;01;0,0
175;1955.02;8,7273e-13;1955;02;0,0
176;1955.03;8,7273e-13;1955;03;0,0
177;1955.04;8,7273e-13;1955;04;0,0
178;1955.05;8,7273e-13;1955;05;0,0
179;1955.06;8,7273e-13;1955;06;0,0
180;1955.07;8,7273e-13;1955;07;0,0
181;1955.08;8,7273e-13;1955;08;0,0
182;1955.09;8,7273e-13;1955;09;0,0
183;1955.10;8,7273e-13;1955;10;0,0
184;1955.11;8,7273e-13;1955;11;0,0
185;1955.12;8,7273e-13;1955;12;0,0
186;1956.01;8,7273e-13;1956;01;0,0
187;1956.02;8,7273e-13;1956;02;0,0
188;1956.03;8,7273e-13;1956;03;0,0
