;data;IBOVESPA fechamento mensal;ano;mês;variação
104;1976.10;-15,3724;1976;10;1,113131812995725
105;1976.11;8,2824;1976;11;-1,5387837943327
106;1976.12;4,7371;1976;12;-0,42805225538491265
107;1977.01;10,7054;1977;01;1,259905849570412
108;1977.02;-1,7616;1977;02;-1,1645524688474975
109;1977.03;8,3556;1977;03;-5,743188010899183
110;1977.04;-0,669;1977;04;-1,0800660634783859
111;1977.05;-1,0635;1977;05;0,5896860986547083
112;1977.06;-0,8599;1977;06;-0,19144334743770564
113;1977.07;2,06;1977;07;-3,3956273985347134
114;1977.08;11,4731;1977;08;4,569466019417476
115;1977.09;9,7522;1977;09;-0,14999433457391642
116;1977.10;-0,5499;1977;10;-1,0563872767170484
117;1977.11;-4,6566;1977;11;7,468085106382977
118;1977.12;3,6935;1977;12;-1,793175278099901
119;1978.01;11,0097;1978;01;1,9808311899282525
120;1978.02;8,804;1978;02;-0,2003415170258953
121;1978.03;-1,6573;1978;03;-1,1882439800090867
122;1978.04;-6,7906;1978;04;3,097387316719966
123;1978.05;4,0681;1978;05;-1,5990781374252645
124;1978.06;-0,6898;1978;06;-1,1695631867456553
125;1978.07;5,1968;1978;07;-8,533777906639607
126;1978.08;-2,1032;1978;08;-1,404710591133005
127;1978.09;0,2498;1978;09;-1,1187713959680488
128;1978.10;-6,7032;1978;10;-27,834267413931144
129;1978.11;-4,1934;1978;11;-0,3744181883279628
130;1978.12;-1,0594;1978;12;-0,7473649067582391
131;1979.01;1,8315;1979;01;-2,728808759675288
132;1979.02;-3,7078;1979;02;-3,024460824460825
133;1979.03;3,2184;1979;03;-1,8680079831706133
134;1979.04;15,4788;1979;04;3,809470544369873
135;1979.05;8,2208;1979;05;-0,468899397886141
136;1979.06;-7,1731;1979;06;-1,8725549824834564
137;1979.07;-0,072;1979;07;-0,9899624987801647
138;1979.08;8,1892;1979;08;-114,7388888888889
139;1979.09;21,0877;1979;09;1,5750622771455092
140;1979.10;16,0037;1979;10;-0,24108840698606315
141;1979.11;-13,9539;1979;11;-1,871917119166193
142;1979.12;2,0753;1979;12;-1,1487254459326783
143;1980.01;27,5819;1980;01;12,290560400905894
144;1980.02;9,3217;1980;02;-0,6620356103096596
145;1980.03;5,9082;1980;03;-0,3661885707542616
146;1980.04;-3,3496;1980;04;-1,5669408618530178
147;1980.05;17,5929;1980;05;-6,252239073322188
148;1980.06;13,6427;1980;06;-0,22453376077849585
149;1980.07;2,3576;1980;07;-0,8271896325507414
150;1980.08;0,8753;1980;08;-0,6287326094333221
151;1980.09;-8,9871;1980;09;-11,267451159602421
152;1980.10;-5,1581;1980;10;-0,4260551234547295
153;1980.11;-7,6288;1980;11;0,47899420329190967
154;1980.12;-8,2016;1980;12;0,07508389261744952
155;1981.01;10,1947;1981;01;-2,243013558330082
156;1981.02;-1,4834;1981;02;-1,1455069791166
157;1981.03;-10,4023;1981;03;6,012471349602265
158;1981.04;6,4785;1981;04;-1,6227949588071868
159;1981.05;16,5542;1981;05;1,555251987342749
160;1981.06;9,4583;1981;06;-0,4286465066267172
161;1981.07;2,0021;1981;07;-0,7883234830783544
162;1981.08;13,5173;1981;08;5,751560861095849
163;1981.09;10,619;1981;09;-0,2144141211632501
164;1981.10;22,8932;1981;10;1,1558715509935023
165;1981.11;14,9808;1981;11;-0,345622280851956
166;1981.12;-10,5922;1981;12;-1,7070516928334936
167;1982.01;26,8982;1982;01;-3,5394346783482185
168;1982.02;13,2174;1982;02;-0,5086139592983917
169;1982.03;0,7352;1982;03;-0,9443763523839787
170;1982.04;3,3388;1982;04;3,5413492927094667
171;1982.05;25,0049;1982;05;6,4891877321193245
172;1982.06;3,3713;1982;06;-0,8651744258125407
173;1982.07;-7,9722;1982;07;-3,3647257734405125
174;1982.08;1,7391;1982;08;-1,2181455558064274
175;1982.09;-11,5368;1982;09;-7,633776091081593
176;1982.10;7,7439;1982;10;-1,671234657790722
177;1982.11;-8,304;1982;11;-2,072327896796188
178;1982.12;3,6386;1982;12;-1,438174373795761
179;1983.01;43,0245;1983;01;10,824465453745947
180;1983.02;16,9194;1983;02;-0,6067496426454695
181;1983.03;4,791;1983;03;-0,7168339302812157
182;1983.04;12,1492;1983;04;1,535838029638906
183;1983.05;0,5436;1983;05;-0,9552563131728838
184;1983.06;16,8006;1983;06;29,90618101545254
185;1983.07;-4,2459;1983;07;-1,2527231170315347
186;1983.08;8,8168;1983;08;-3,0765444310982364
187;1983.09;33,8639;1983;09;2,840837945739951
188;1983.10;39,1516;1983;10;0,15614563000717574
189;1983.11;33,3068;1983;11;-0,14928636377568216
190;1983.12;43,7686;1983;12;0,314104026805337
191;1984.01;6,3044;1984;01;-0,8559606658654835
192;1984.02;-11,1198;1984;02;-2,763815747731743
193;1984.03;18,2177;1984;03;-2,63831184014101
194;1984.04;41,2551;1984;04;1,2645613881005833
195;1984.05;9,1483;1984;05;-0,7782504466114493
196;1984.06;-5,106;1984;06;-1,5581364843741459
197;1984.07;0,0254;1984;07;-1,0049745397571483
198;1984.08;31,3372;1984;08;1232,748031496063
199;1984.09;0,5216;1984;09;-0,9833552455228929
200;1984.10;36,6904;1984;10;69,3420245398773
201;1984.11;50,0703;1984;11;0,36467032248217546
202;1984.12;22,4398;1984;12;-0,5518341212255569
203;1985.01;-4,4536;1985;01;-1,19846879205697
204;1985.02;8,4334;1985;02;-2,8936141548410275
205;1985.03;-5,1776;1985;03;-1,613939810752484
206;1985.04;-0,2259;1985;04;-0,9563697466007417
207;1985.05;45,4056;1985;05;-201,99867197875167
208;1985.06;52,0537;1985;06;0,14641586059869272
209;1985.07;18,351;1985;07;-0,647460218966183
210;1985.08;23,9819;1985;08;0,306844313661381
211;1985.09;31,0985;1985;09;0,29674879805186416
212;1985.10;24,1529;1985;10;-0,22334196183095656
213;1985.11;12,1326;1985;11;-0,4976752274054047
214;1985.12;-13,5835;1985;12;-2,1195868981092265
215;1986.01;1,4648;1986;01;-1,1078367136599552
216;1986.02;23,9098;1986;02;15,322910977607865
217;1986.03;90,8981;1986;03;2,8017089227011516
218;1986.04;23,5219;1986;04;-0,7412278144427662
219;1986.05;-11,0139;1986;05;-1,4682402356952458
220;1986.06;-9,5431;1986;06;-0,13354034447380114
221;1986.07;1,7263;1986;07;-1,1808950969810648
222;1986.08;-17,7247;1986;08;-11,267450616926373
223;1986.09;-23,835;1986;09;0,34473362031515364
224;1986.10;20,3611;1986;10;-1,8542521501992868
225;1986.11;-21,0833;1986;11;-2,035469596436342
226;1986.12;-2,2175;1986;12;-0,8948219680979733
227;1987.01;-23,3261;1987;01;9,519098083427284
228;1987.02;-3,662;1987;02;-0,843008475484543
229;1987.03;-3,0702;1987;03;-0,16160567995630803
230;1987.04;29,4118;1987;04;-10,579766790437105
231;1987.05;-10,6061;1987;05;-1,3606069672716392
232;1987.06;45,1108;1987;06;-5,253288202072392
233;1987.07;23,0907;1987;07;-0,48813366200555075
234;1987.08;-16,2044;1987;08;-1,7017717089564197
235;1987.09;29,007;1987;09;-2,790069363876478
236;1987.10;-19,3113;1987;10;-1,6657461991932982
237;1987.11;3,7657;1987;11;-1,194999818758965
238;1987.12;0,7258;1987;12;-0,8072602703348647
239;1988.01;52,8423;1988;01;71,80559382750069
240;1988.02;13,1482;1988;02;-0,7511803990363781
241;1988.03;83,5648;1988;03;5,355607611688293
242;1988.04;31,2484;1988;04;-0,6260578616833883
243;1988.05;18,1015;1988;05;-0,4207223409838583
244;1988.06;14,4972;1988;06;-0,1991160953512141
245;1988.07;3,6379;1988;07;-0,749061887812819
246;1988.08;29,165;1988;08;7,016987822644932
247;1988.09;45,3503;1988;09;0,5549562832161836
248;1988.10;31,8361;1988;10;-0,2979958236218945
249;1988.11;18,5031;1988;11;-0,4188012978976696
250;1988.12;54,6538;1988;12;1,953764504326302
251;1989.01;-2,0615;1989;01;-1,0377192436756457
252;1989.02;53,679;1989;02;-27,03880669415474
253;1989.03;46,4673;1989;03;-0,1343486279550662
254;1989.04;59,8815;1989;04;0,2886804268808387
255;1989.05;7,4614;1989;05;-0,8753972428880372
256;1989.06;-41,9792;1989;06;-6,6261827539067735
257;1989.07;69,5048;1989;07;-2,6556961542859323
258;1989.08;24,0445;1989;08;-0,6540598634914423
259;1989.09;47,4814;1989;09;0,9747301877768306
260;1989.10;51,4106;1989;10;0,08275240409928952
261;1989.11;-9,1287;1989;11;-1,1775645489451592
262;1989.12;98,6427;1989;12;-11,805777383417135
263;1990.01;63,0934;1990;01;-0,3603844988022429
264;1990.02;65,1607;1990;02;0,03276570925009592
265;1990.03;-56,1668;1990;03;-1,8619735515425708
266;1990.04;114,2543;1990;04;-3,0341963579908415
267;1990.05;-6,0563;1990;05;-1,0530071953528226
268;1990.06;20,3169;1990;06;-4,354671994452058
269;1990.07;69,2701;1990;07;2,4094817614892037
270;1990.08;-15,9312;1990;08;-1,229986675347661
271;1990.09;-7,8657;1990;09;-0,5062707140705032
272;1990.10;-22,7326;1990;10;1,8900924266117447
273;1990.11;48,532;1990;11;-3,134907577663795
274;1990.12;-5,1075;1990;12;-1,1052398417538944
275;1991.01;88,7422;1991;01;-18,374880078316203
276;1991.02;52,9002;1991;02;-0,40388901785170983
277;1991.03;-11,5101;1991;03;-1,2175814080097995
278;1991.04;3,9103;1991;04;-1,339727717396026
279;1991.05;67,3033;1991;05;16,211799606168324
280;1991.06;21,1587;1991;06;-0,6856216559960655
281;1991.07;33,1313;1991;07;0,5658476182374155
282;1991.08;15,8488;1991;08;-0,5216366396730585
283;1991.09;17,2696;1991;09;0,08964716571601627
284;1991.10;31,1323;1991;10;0,8027227034789457
285;1991.11;0,6731;1991;11;-0,9783793680518305
286;1991.12;88,1144;1991;12;129,90833457138612
287;1992.01;84,3984;1992;01;-0,04217244854416535
288;1992.02;29,3656;1992;02;-0,6520597546872926
289;1992.03;21,0857;1992;03;-0,28195916310240554
290;1992.04;28,5958;1992;04;0,35617029550833035
291;1992.05;14,7818;1992;05;-0,4830779345218529
292;1992.06;-22,5494;1992;06;-2,5254840411857824
293;1992.07;33,5393;1992;07;-2,48736995219385
294;1992.08;21,9067;1992;08;-0,3468349071089736
295;1992.09;36,1881;1992;09;0,6519192758379855
296;1992.10;3,7735;1992;10;-0,8957253903907638
297;1992.11;-0,9313;1992;11;-1,2468000530011925
298;1992.12;48,2303;1992;12;-52,78814560292065
299;1993.01;36,9368;1993;01;-0,23415778048239388
300;1993.02;51,2547;1993;02;0,3876323882956836
301;1993.03;36,5423;1993;03;-0,2870448953949589
302;1993.04;25,5945;1993;04;-0,2995925270166354
303;1993.05;47,0105;1993;05;0,8367422688468227
304;1993.06;51,7963;1993;06;0,10180278873868609
305;1993.07;22,0113;1993;07;-0,5750410743624546
306;1993.08;47,0377;1993;08;1,13697964227465
307;1993.09;52,0431;1993;09;0,10641251591808287
308;1993.10;25,7503;1993;10;-0,5052120261859883
309;1993.11;48,6466;1993;11;0,8891663398096332
310;1993.12;37,0105;1993;12;-0,23919657283345597
311;1994.01;97,2433;1994;01;1,627451669120925
312;1994.02;42,2996;1994;02;-0,5650127052455028
313;1994.03;43,8129;1994;03;0,035775752016567575
314;1994.04;12,7285;1994;04;-0,709480541119168
315;1994.05;44,4158;1994;05;2,489476371921279
316;1994.06;46,8507;1994;06;0,05482058186501204
317;1994.07;15,9587;1994;07;-0,659371151338187
318;1994.08;26,8512;1994;08;0,6825430642846848
319;1994.09;2,9009;1994;09;-0,8919638600881897
320;1994.10;-12,5109;1994;10;-5,312765003964286
321;1994.11;-2,9575;1994;11;-0,7636061354498876
322;1994.12;-6,4884;1994;12;1,1938799661876587
323;1995.01;-10,7697;1995;01;0,6598390974662474
